id,han,chars
5647,"xán","璨"
5648,"cư","璩"
5649,"cừ","璩"
5650,"tảo","璪"
5651,"đang","璫"
5652,"hoàn","環"
5653,"dư","璵"
5654,"hấn","璺"
5655,"vấn","璺"
5656,"tỉ","璽"
5657,"tỷ","璽"
5658,"tuyền","璿"
5659,"nhuyên","瓀"
5660,"yểng","瓃"
5661,"quỳnh","瓊"
5662,"lung","瓏"
5663,"anh","瓔"
5664,"quán","瓘"
5665,"tán","瓚"
5666,"toản","瓚"
5667,"toán","瓚"
5668,"hiến","瓛"
5669,"qua","瓜"
5670,"điệt","瓞"
5671,"hồ","瓠"
5672,"biều","瓢"
5673,"biểu","瓢"
5674,"bạn","瓣"
5675,"biện","瓣"
5676,"nhương","瓤"
5677,"ngoã","瓦"
5678,"úng","瓮"
5679,"linh","瓴"
5680,"bình","瓶"
5681,"từ","瓷"
5682,"hi","瓻"
5683,"hy","瓻"
5684,"bầu","瓿"
5685,"mãn","甂"
5686,"thứu","甃"
5687,"trụ","甃"
5688,"trứu","甃"
5689,"chân","甄"
5690,"âu","甌"
5691,"manh","甍"
5692,"mông","甍"
5693,"tắng","甑"
5694,"vũ","甒"
5695,"bích","甓"
5696,"tịch","甓"
5697,"đam","甔"
5698,"ung","甕"
5699,"úng","甕"
5700,"anh","甖"
5701,"nghiễn","甗"
5702,"cam","甘"
5703,"thậm","甚"
5704,"điềm","甜"
5705,"sanh","生"
5706,"sinh","生"
5707,"sân","甡"
5708,"sản","產"
5709,"sanh","甥"
5710,"sinh","甥"
5711,"tô","甦"
5712,"dụng","用"
5713,"suỷ","甩"
5714,"lục","甪"
5715,"phủ","甫"
5716,"dũng","甬"
5717,"bằng","甭"
5718,"nịnh","甯"
5719,"điền","田"
5720,"do","由"
5721,"giáp","甲"
5722,"thân","申"
5723,"nam","男"
5724,"điện","甸"
5725,"đinh","町"
5726,"khuyến","甽"
5727,"tri","甾"
5728,"ti","畀"
5729,"tí","畀"
5730,"ty","畀"
5731,"tỷ","畀"
5732,"tý","畀"
5733,"vân","畇"
5734,"điền","畋"
5735,"giới","界"
5736,"khuyển","畎"
5737,"khuyến","畎"
5738,"quyến","畎"
5739,"uý","畏"
5740,"bạn","畔"
5741,"lưu","留"
5742,"bôn","畚"
5743,"bổn","畚"
5744,"chẩn","畛"
5745,"súc","畜"
5746,"mẫu","畝"
5747,"tắc","畟"
5748,"tất","畢"
5749,"đáp","畣"
5750,"lược","略"
5751,"huề","畦"
5752,"phan","番"
5753,"phiên","番"
5754,"hoạ","畫"
5755,"dư","畬"
5756,"tuấn","畯"
5757,"dị","異"
5758,"đang","當"
5759,"đáng","當"
5760,"đương","當"
5761,"cơ","畸"
5762,"ki","畸"
5763,"ky","畸"
5764,"uyển","畹"
5765,"kì","畿"
5766,"kỳ","畿"
5767,"cương","疆"
5768,"trù","疇"
5769,"trừ","疇"
5770,"điệp","疊"
5771,"sất","疋"
5772,"sơ","疋"
5773,"tiệp","疌"
5774,"sơ","疏"
5775,"sớ","疏"
5776,"chí","疐"
5777,"nghi","疑"
5778,"nạch","疒"
5779,"đinh","疔"
5780,"dang","疘"
5781,"giang","疘"
5782,"khất","疙"
5783,"ngật","疙"
5784,"cửu","疚"
5785,"cứu","疚"
5786,"cữu","疚"
5787,"sán","疝"
5788,"sấn","疢"
5789,"vưu","疣"
5790,"ba","疤"
5791,"giới","疥"
5792,"dịch","疫"
5793,"chú","疰"
5794,"bì","疲"
5795,"cam","疳"
5796,"thư","疵"
5797,"tì","疵"
5798,"tỳ","疵"
5799,"đản","疸"
5800,"chẩn","疹"
5801,"đông","疼"
5802,"thư","疽"
5803,"tật","疾"
5804,"phi","疿"
5805,"câu","痀"
5806,"thiêm","痁"
5807,"gia","痂"
5808,"già","痂"
5809,"chá","痄"
5810,"trá","痄"
5811,"bệnh","病"
5812,"chưng","症"
5813,"chứng","症"
5814,"thuyên","痊"
5815,"thông","痌"
5816,"di","痍"
5817,"giai","痎"
5818,"vị","痏"
5819,"vĩ","痏"
5820,"dương","痒"
5821,"dưỡng","痒"
5822,"trĩ","痔"
5823,"ngân","痕"
5824,"mại","痗"
5825,"mội","痗"
5826,"đậu","痘"
5827,"kinh","痙"
5828,"kính","痙"
5829,"thống","痛"
5830,"bĩ","痞"
5831,"toan","痠"
5832,"lị","痢"
5833,"lỵ","痢"
5834,"chí","痣"
5835,"toà","痤"
5836,"ngộ","痦"
5837,"sa","痧"
5838,"đàm","痰"
5839,"phi","痱"
5840,"ma","痲"
5841,"lâm","痳"
5842,"si","痴"
5843,"tê","痹"
5844,"tí","痹"
5845,"tý","痹"
5846,"tì","痺"
5847,"bễ","痼"
5848,"cố","痼"
5849,"a","痾"
5850,"kha","痾"
5851,"nuy","痿"
5852,"uỷ","痿"
5853,"ứ","瘀"
5854,"thốt","瘁"
5855,"tuỵ","瘁"
5856,"chúc","瘃"
5857,"khế","瘈"
5858,"dụ","瘉"
5859,"hầu","瘊"
5860,"phong","瘋"
5861,"lạt","瘌"
5862,"dương","瘍"
5863,"đồ","瘏"
5864,"dữ","瘐"
5865,"sấu","瘐"
5866,"hoán","瘓"
5867,"hà","瘕"
5868,"âm","瘖"
5869,"tao","瘙"
5870,"xít","瘛"
5871,"quan","瘝"
5872,"ế","瘞"
5873,"ôn","瘟"
5874,"tích","瘠"
5875,"sang","瘡"
5876,"ban","瘢"
5877,"lưu","瘤"
5878,"lựu","瘤"
5879,"sai","瘥"
5880,"ta","瘥"
5881,"sấu","瘦"
5882,"ngược","瘧"
5883,"đáp","瘩"
5884,"tiếu","瘭"
5885,"lỗi","瘰"
5886,"tung","瘲"
5887,"túng","瘲"
5888,"sưu","瘳"
5889,"trừu","瘳"
5890,"chướng","瘴"
5891,"sái","瘵"
5892,"qua","瘸"
5893,"lậu","瘺"
5894,"mạc","瘼"
5895,"liệu","療"
5896,"long","癃"
5897,"lung","癃"
5898,"lao","癆"
5899,"giản","癇"
5900,"phế","癈"
5901,"đan","癉"
5902,"đạn","癉"
5903,"đản","癉"
5904,"đơn","癉"
5905,"nham","癌"
5906,"dụ","癒"
5907,"dũ","癒"
5908,"phích","癖"
5909,"tích","癖"
5910,"luỹ","癗"
5911,"lệ","癘"
5912,"thử","癙"
5913,"điến","癜"
5914,"biên","癟"
5915,"biết","癟"
5916,"miết","癟"
5917,"si","癡"
5918,"dương","癢"
5919,"dưỡng","癢"
5920,"tiết","癤"
5921,"trưng","癥"
5922,"lại","癩"
5923,"tiền","癬"
5924,"tiển","癬"
5925,"anh","癭"
5926,"ẩn","癮"
5927,"ung","癰"
5928,"than","癱"
5929,"điên","癲"
5930,"bát","癶"
5931,"quý","癸"
5932,"quí","癸"
5933,"đãng","登"
5934,"đăng","登"
5935,"phát","發"
5936,"bạch","白"
5937,"bách","百"
5938,"bá","百"
5939,"tạo","皁"
5940,"tạo","皂"
5941,"đích","的"
5942,"giai","皆"
5943,"hoàng","皇"
5944,"huỳnh","皇"
5945,"qui","皈"
5946,"quy","皈"
5947,"cao","皋"
5948,"giảo","皎"
5949,"kiểu","皎"
5950,"tư","皏"
5951,"hạo","皓"
5952,"bức","皕"
5953,"hoàn","皖"
5954,"hoản","皖"
5955,"tích","皙"
5956,"ngai","皚"
5957,"hạo","皜"
5958,"hao","皞"
5959,"hạo","皞"
5960,"ba","皤"
5961,"bà","皤"
5962,"kiểu","皦"
5963,"tước","皭"
5964,"bì","皮"
5965,"bao","皰"
5966,"pháo","皰"
5967,"thoan","皴"
5968,"thuân","皴"
5969,"quân","皸"
5970,"trâu","皺"
5971,"trứu","皺"
5972,"cha","皻"
5973,"mãnh","皿"
5974,"vu","盂"
5975,"bôi","盃"
5976,"chung","盅"
5977,"trung","盅"
5978,"bồn","盆"
5979,"doanh","盈"
5980,"ích","益"
5981,"hạp","盍"
5982,"ang","盎"
5983,"áng","盎"
5984,"hạp","盒"
5985,"khôi","盔"
5986,"thành","盛"
5987,"thịnh","盛"
5988,"đạo","盜"
5989,"trản","盞"
5990,"minh","盟"
5991,"tận","盡"
5992,"giam","監"
5993,"giám","監"
5994,"bàn","盤"
5995,"quán","盥"
5996,"am","盦"
5997,"lô","盧"
5998,"lư","盧"
5999,"chu","盩"
6000,"đãng","盪"
6001,"cổ","盬"
6002,"lệ","盭"
6003,"mục","目"
6004,"đinh","盯"
6005,"hu","盱"
6006,"mang","盲"
6007,"manh","盲"
6008,"trực","直"
6009,"kính","盵"
6010,"tương","相"
6011,"tướng","相"
6012,"đồn","盹"
6013,"độn","盹"
6014,"truân","盹"
6015,"hệ","盻"
6016,"hễ","盻"
6017,"phán","盼"
6018,"thuẫn","盾"
6019,"tỉnh","省"
6020,"miện","眄"
6021,"miến","眄"
6022,"diểu","眇"
6023,"miểu","眇"
6024,"miễu","眇"
6025,"đam","眈"
6026,"mi","眉"
6027,"my","眉"
6028,"mạo","眊"
6029,"khan","看"
6030,"khán","看"
6031,"thốc","眑"
6032,"dị","眙"
6033,"sảnh","眚"
6034,"muội","眛"
6035,"chân","真"
6036,"miên","眠"
6037,"oan","眢"
6038,"điệt","眣"
6039,"tí","眥"
6040,"tý","眥"
6041,"xế","眥"
6042,"biếm","眨"
6043,"trát","眨"
6044,"huyễn","眩"
6045,"huy","眭"
6046,"mị","眯"
6047,"my","眯"
6048,"di","眱"
6049,"si","眵"
6050,"khuông","眶"
6051,"quyến","眷"
6052,"mâu","眸"
6053,"diểu","眺"
6054,"thiếu","眺"
6055,"nhãn","眼"
6056,"chúng","眾"
6057,"hạn","睅"
6058,"hãn","睅"
6059,"hoản","睆"
6060,"hoãn","睆"
6061,"đệ","睇"
6062,"thê","睇"
6063,"quyên","睊"
6064,"quyến","睊"
6065,"hiện","睍"
6066,"hiển","睍"
6067,"hy","睎"
6068,"khốn","睏"
6069,"thiểm","睒"
6070,"nhai","睚"
6071,"tinh","睛"
6072,"tình","睛"
6073,"tĩnh","睜"
6074,"tranh","睜"
6075,"lai","睞"
6076,"lãi","睞"
6077,"tuý","睟"
6078,"bí","睠"
6079,"quyến","睠"
6080,"thuỵ","睡"
6081,"duy","睢"
6082,"tuy","睢"
6083,"đốc","督"
6084,"bễ","睥"
6085,"tì","睥"
6086,"mục","睦"
6087,"nghễ","睨"
6088,"lục","睩"
6089,"trắc","睩"
6090,"cao","睪"
6091,"dịch","睪"
6092,"tiệp","睫"
6093,"thải","睬"
6094,"thái","睬"
6095,"đổ","睹"
6096,"khuê","睽"
6097,"duệ","睿"
6098,"mậu","瞀"
6099,"miêu","瞄"
6100,"miểu","瞄"
6101,"thiểu","瞅"
6102,"mi","瞇"
6103,"mị","瞇"
6104,"sân","瞋"
6105,"hạp","瞌"
6106,"khạp","瞌"
6107,"tẩu","瞍"
6108,"hạt","瞎"
6109,"minh","瞑"
6110,"xưởng","瞜"
6111,"man","瞞"
6112,"mạn","瞞"
6113,"mãn","瞞"
6114,"phiểu","瞟"
6115,"phiếu","瞟"
6116,"đường","瞠"
6117,"sanh","瞠"
6118,"xanh","瞠"
6119,"măng","瞢"
6120,"miết","瞥"
6121,"phách","瞥"
6122,"tệ","瞥"
6123,"tiêu","瞧"
6124,"tiều","瞧"
6125,"trừng","瞪"
6126,"thuấn","瞬"
6127,"liệu","瞭"
6128,"hám","瞰"
6129,"khám","瞰"
6130,"đồng","瞳"
6131,"lân","瞵"
6132,"quý","瞶"
6133,"quí","瞶"
6134,"giản","瞷"
6135,"gián","瞷"
6136,"chiêm","瞻"
6137,"kiểm","瞼"
6138,"liễm","瞼"
6139,"cổ","瞽"
6140,"cù","瞿"
6141,"mông","矇"
6142,"tần","矉"
6143,"cù","矍"
6144,"quắc","矍"
6145,"quyết","矍"
6146,"lung","矓"
6147,"súc","矗"
6148,"khám","矙"
6149,"chúc","矚"
6150,"mâu","矛"
6151,"căng","矜"
6152,"duật","矞"
6153,"thỉ","矢"
6154,"hĩ","矣"
6155,"hỹ","矣"
6156,"tri","知"
6157,"thẩn","矧"
6158,"củ","矩"
6159,"toa","矬"
6160,"đoản","短"
6161,"ải","矮"
6162,"nỵu","矮"
6163,"uy","矮"
6164,"kiểu","矯"
6165,"tăng","矰"
6166,"hoạch","矱"
6167,"thạch","石"
6168,"can","矸"
6169,"khốt","矻"
6170,"quát","矻"
6171,"cang","矼"
6172,"đãi","矽"
6173,"tịch","矽"
6174,"sa","砂"
6175,"phu","砆"
6176,"hoạch","砉"
6177,"thế","砌"
6178,"thiết","砌"
6179,"khảm","砍"
6180,"khản","砍"
6181,"nhạ","砑"
6182,"phê","砒"
6183,"tì","砒"
6184,"tỳ","砒"
6185,"nghiên","研"
6186,"khứ","砝"
6187,"kiếp","砝"
6188,"pháp","砝"
6189,"tạc","砟"
6190,"tra","砟"
6191,"thả","砠"
6192,"kha","砢"
6193,"bạn","砣"
6194,"đà","砣"
6195,"chỉ","砥"
6196,"để","砥"
6197,"trại","砦"
6198,"châm","砧"
6199,"trạm","砧"
6200,"biêm","砭"
6201,"biếm","砭"
6202,"nỗ","砮"
6203,"bình","砰"
6204,"phanh","砰"
6205,"pháo","砲"
6206,"phá","破"
6207,"thân","砷"
6208,"táp","砸"
6209,"chu","硃"
6210,"lạc","硌"
6211,"hình","硎"
6212,"tây","硒"
6213,"khanh","硜"
6214,"tiêu","硝"
6215,"lang","硠"
6216,"hiệp","硤"
6217,"lo","硥"
6218,"xa","硨"
6219,"xà","硨"
6220,"lưu","硫"
6221,"ngạnh","硬"
6222,"mang","硭"
6223,"xác","确"
6224,"nghiễn","硯"
6225,"tủ","硻"
6226,"bằng","硼"
6227,"không","硿"
6228,"kì","碁"
6229,"kỳ","碁"
6230,"đính","碇"
6231,"điêu","碉"
6232,"điều","碉"
6233,"lộc","碌"
6234,"lục","碌"
6235,"toái","碎"
6236,"thước","碏"
6237,"bi","碑"
6238,"đối","碓"
6239,"vũ","碔"
6240,"vên","碕"
6241,"oản","碗"
6242,"uyển","碗"
6243,"điền","碘"
6244,"điển","碘"
6245,"nham","碞"
6246,"điệp","碟"
6247,"độc","碡"
6248,"kiệt","碣"
6249,"bích","碧"
6250,"ôi","碨"
6251,"thạc","碩"
6252,"châm","碪"
6253,"đoạn","碫"
6254,"đãng","碭"
6255,"nãng","碭"
6256,"bính","碰"
6257,"tịnh","碰"
6258,"đế","碲"
6259,"thán","碳"
6260,"xác","確"
6261,"mã","碼"
6262,"niễn","碾"
6263,"triển","碾"
6264,"từ","磁"
6265,"thấp","磃"
6266,"bàn","磅"
6267,"bang","磅"
6268,"bàng","磅"
6269,"bảng","磅"
6270,"tảng","磉"
6271,"lỗi","磊"
6272,"sa","磋"
6273,"tha","磋"
6274,"liêm","磏"
6275,"bàn","磐"
6276,"ngại","磑"
6277,"kiệt","磔"
6278,"trách","磔"
6279,"hạp","磕"
6280,"khải","磕"
6281,"khái","磕"
6282,"chuyên","磚"
6283,"lỗ","磠"
6284,"khám","磡"
6285,"sẩm","磣"
6286,"thích","磧"
6287,"tích","磧"
6288,"trách","磧"
6289,"ma","磨"
6290,"khánh","磬"
6291,"cơ","磯"
6292,"ki","磯"
6293,"ky","磯"
6294,"cừ","磲"
6295,"đặng","磴"
6296,"đắng","磴"
6297,"lân","磷"
6298,"lận","磷"
6299,"hoàng","磺"
6300,"huỳnh","磺"
6301,"bàn","磻"
6302,"vết","磼"
6303,"khao","磽"
6304,"xao","磽"
6305,"tiêu","礁"
6306,"tiều","礁"
6307,"băng","礄"
6308,"kiều","礄"
6309,"lỗi","礌"
6310,"sở","礎"
6311,"ngại","礙"
6312,"mông","礞"
6313,"bạc","礡"
6314,"khoáng","礦"
6315,"quáng","礦"
6316,"lôi","礧"
6317,"lỗi","礨"
6318,"chất","礩"
6319,"lệ","礪"
6320,"lịch","礫"
6321,"phàn","礬"
6322,"lung","礱"
6323,"sương","礵"
6324,"kì","示"
6325,"kỳ","示"
6326,"thị","示"
6327,"kỳ","礻"
6328,"kì","礻"
6329,"nhưng","礽"
6330,"quyên","礽"
6331,"xã","社"
6332,"tự","祀"
6333,"kì","祁"
6334,"kỳ","祁"
6335,"yêu","祅"
6336,"yêu","祆"
6337,"kì","祇"
6338,"kỳ","祇"
6339,"kì","祈"
6340,"kỳ","祈"
6341,"chỉ","祉"
6342,"banh","祊"
6343,"sánh","祋"
6344,"thạch","祏"
6345,"hựu","祐"
6346,"hữu","祐"
6347,"phất","祓"
6348,"phụ","祔"
6349,"bí","祕"
6350,"tổ","祖"
6351,"chi","祗"
6352,"tộ","祚"
6353,"khư","祛"
6354,"hộ","祜"
6355,"hỗ","祜"
6356,"chúc","祝"
6357,"thần","神"
6358,"tuý","祟"
6359,"xuý","祟"
6360,"từ","祠"
6361,"tường","祥"
6362,"khiêu","祧"
6363,"thiêu","祧"
6364,"phiếu","票"
6365,"tiêu","票"
6366,"hạp","祫"
6367,"hợp","祫"
6368,"tế","祭"
6369,"tẩm","祲"
6370,"kì","祺"
6371,"kỳ","祺"
6372,"quán","祼"
6373,"lộc","祿"
6374,"câm","禁"
6375,"cấm","禁"
6376,"hễ","禊"
6377,"hoạ","禍"
6378,"trinh","禎"
6379,"phúc","福"
6380,"phước","福"
6381,"đề","禔"
6382,"y","禕"
6383,"môi","禖"
6384,"đế","禘"
6385,"chân","禛"
6386,"mã","禡"
6387,"huyên","禤"
6388,"ngự","禦"
6389,"ngữ","禦"
6390,"hi","禧"
6391,"hy","禧"
6392,"cơ","禨"
6393,"thiền","禪"
6394,"thiện","禪"
6395,"xối","禬"
6396,"lễ","禮"
6397,"nhĩ","禰"
6398,"nỉ","禰"
6399,"đảo","禱"
6400,"nhương","禳"
6401,"dược","禴"
6402,"nhựu","禸"
6403,"nhữu","禸"
6404,"ngu","禹"
6405,"vũ","禹"
6406,"ngu","禺"
6407,"ngụ","禺"
6408,"li","离"
6409,"ly","离"
6410,"cầm","禽"
6411,"hoà","禾"
6412,"ngốc","禿"
6413,"thốc","禿"
6414,"tú","秀"
6415,"tư","私"
6416,"tiên","秈"
6417,"bỉnh","秉"
6418,"thu","秋"
6419,"chủng","种"
6420,"khoa","科"
6421,"miểu","秒"
6422,"sao","秒"
6423,"bỉ","秕"
6424,"chuỷ","秕"
6425,"kì","秖"
6426,"kỳ","秖"
6427,"bí","秘"
6428,"uông","秝"
6429,"tô","租"
6430,"mạt","秣"
6431,"xứng","秤"
6432,"tần","秦"
6433,"ương","秧"
6434,"trật","秩"
6435,"thuật","秫"
6436,"tỉ","秭"
6437,"tỷ","秭"
6438,"kiết","秸"
6439,"di","移"
6440,"hi","稀"
6441,"hy","稀"
6442,"lang","稂"
6443,"phù","稃"
6444,"thuế","稅"
6445,"cản","稈"
6446,"cán","稈"
6447,"đề","稊"
6448,"trình","程"
6449,"đồ","稌"
6450,"sảo","稍"
6451,"sáo","稍"
6452,"nhẫm","稔"
6453,"bại","稗"
6454,"trắc","稙"
6455,"trĩ","稚"
6456,"trĩ","稛"
6457,"lăng","稜"
6458,"khoả","稞"
6459,"bẩm","稟"
6460,"trù","稠"
6461,"ấm","稦"
6462,"biển","稨"
6463,"bình","稨"
6464,"chủng","種"
6465,"chúng","種"
6466,"xung","種"
6467,"hông","稯"
6468,"xưng","稱"
6469,"xứng","稱"
6470,"tắc","稷"
6471,"thời","稹"
6472,"đạo","稻"
6473,"giá","稼"
6474,"kê","稽"
6475,"khể","稽"
6476,"cảo","稿"
6477,"cốc","穀"
6478,"tế","穄"
6479,"mục","穆"
6480,"môn","穈"
6481,"lục","穋"
6482,"tô","穌"
6483,"tích","積"
6484,"dĩnh","穎"
6485,"tuệ","穗"
6486,"huệ","穟"
6487,"tuệ","穟"
6488,"nông","穠"
6489,"nùng","穠"
6490,"sắc","穡"
6491,"tường","穡"
6492,"uế","穢"
6493,"bồ","穧"
6494,"đồi","穨"
6495,"ổn","穩"
6496,"hoạch","穫"
6497,"lữ","穭"
6498,"nhương","穰"
6499,"huyệt","穴"
6500,"ấp","穵"
6501,"oát","穵"
6502,"cứu","究"
6503,"tịch","穸"
6504,"khung","穹"
6505,"không","空"
6506,"hãn","穻"
6507,"xuyên","穿"
6508,"đồn","窀"
6509,"truân","窀"
6510,"đột","突"
6511,"trách","窄"
6512,"diểu","窅"
6513,"yểu","窅"
6514,"biểm","窆"
6515,"biếm","窆"
6516,"yểu","窈"
6517,"vã","窉"
6518,"oa","窊"
6519,"hàng","窋"
6520,"trất","窒"
6521,"yểu","窔"
6522,"điệu","窕"
6523,"diếu","窖"
6524,"kháo","窖"
6525,"song","窗"
6526,"quẫn","窘"
6527,"đạm","窞"
6528,"quật","窟"
6529,"khoa","窠"
6530,"khoà","窠"
6531,"khoả","窠"
6532,"tốt","窣"
6533,"ấm","窨"
6534,"oa","窩"
6535,"oa","窪"
6536,"ang","窫"
6537,"du","窬"
6538,"cùng","窮"
6539,"cao","窯"
6540,"diêu","窯"
6541,"dũ","窳"
6542,"điếu","窵"
6543,"cũ","窶"
6544,"lũ","窶"
6545,"tất","窸"
6546,"khuy","窺"
6547,"khoản","窾"
6548,"lung","窿"
6549,"thục","竁"
6550,"thoán","竄"
6551,"khiếu","竅"
6552,"đậu","竇"
6553,"thiết","竊"
6554,"lập","立"
6555,"hoành","竑"
6556,"hoằng","竑"
6557,"trạm","站"
6558,"cánh","竟"
6559,"chương","章"
6560,"thoan","竣"
6561,"thuân","竣"
6562,"tuấn","竣"
6563,"đồng","童"
6564,"tủng","竦"
6565,"tĩnh","竫"
6566,"yên","竫"
6567,"kiệt","竭"
6568,"đoan","端"
6569,"cạnh","競"
6570,"trúc","竹"
6571,"trúc","竺"
6572,"vu","竽"
6573,"can","竿"
6574,"kê","笄"
6575,"ba","笆"
6576,"cấp","笈"
6577,"tráo","笊"
6578,"hốt","笏"
6579,"tiếu","笑"
6580,"sanh","笙"
6581,"sinh","笙"
6582,"địch","笛"
6583,"si","笞"
6584,"xuy","笞"
6585,"lạp","笠"
6586,"mẫn","笢"
6587,"thiều","笤"
6588,"tứ","笥"
6589,"phù","符"
6590,"bản","笨"
6591,"bổn","笨"
6592,"đát","笪"
6593,"chỉ","笫"
6594,"đệ","第"
6595,"trách","笮"
6596,"phất","笰"
6597,"cẩu","笱"
6598,"cú","笱"
6599,"già","笳"
6600,"phạm","笵"
6601,"phả","笸"
6602,"tiển","筅"
6603,"bút","筆"
6604,"cùng","筇"
6605,"đẳng","等"
6606,"cân","筋"
6607,"trợ","筋"
6608,"thuyên","筌"
6609,"duẩn","筍"
6610,"duẫn","筍"
6611,"phiệt","筏"
6612,"khuông","筐"
6613,"trúc","筑"
6614,"đồng","筒"
6615,"đáp","答"
6616,"sách","策"
6617,"khấu","筘"
6618,"duân","筠"
6619,"quân","筠"
6620,"lang","筤"
6621,"cử","筥"
6622,"quản","筦"
6623,"kiển","筧"
6624,"đồng","筩"
6625,"toán","筭"
6626,"phệ","筮"
6627,"thệ","筮"
6628,"tạc","筰"
6629,"sao","筲"
6630,"đình","筳"
6631,"diên","筳"
6632,"sách","筴"
6633,"diên","筵"
6634,"khoái","筷"
6635,"can","筸"
6636,"tì","箄"
6637,"bế","箅"
6638,"cá","箇"
6639,"tiên","箋"
6640,"cô","箍"
6641,"trì","箎"
6642,"tranh","箏"
6643,"âu","箑"
6644,"sáp","箑"
6645,"tiệp","箑"
6646,"bạc","箔"
6647,"cơ","箕"
6648,"ki","箕"
6649,"ky","箕"
6650,"toán","算"
6651,"phục","箙"
6652,"không","箜"
6653,"kiềm","箝"
6654,"chuỳ","箠"
6655,"chuỷ","箠"
6656,"thuỳ","箠"
6657,"quản","管"
6658,"nhược","箬"
6659,"tiến","箭"
6660,"tiễn","箭"
6661,"tiên","箯"
6662,"sương","箱"
6663,"tương","箱"
6664,"châm","箴"
6665,"trợ","箸"
6666,"trứ","箸"
6667,"tủ","箹"
6668,"tiết","節"
6669,"hoàng","篁"
6670,"huỳnh","篁"
6671,"phạm","範"
6672,"triện","篆"
6673,"thiên","篇"
6674,"trúc","築"
6675,"khiếp","篋"
6676,"kiệp","篋"
6677,"hầu","篌"
6678,"vân","篔"
6679,"cải","篕"
6680,"cao","篙"
6681,"phỉ","篚"
6682,"nhược","篛"
6683,"câu","篝"
6684,"điều","篠"
6685,"tiểu","篠"
6686,"soán","篡"
6687,"toản","篡"
6688,"đốc","篤"
6689,"lật","篥"
6690,"bề","篦"
6691,"tì","篦"
6692,"trừ","篨"
6693,"sai","篩"
6694,"si","篩"
6695,"sự","篩"
6696,"trì","篪"
6697,"li","篱"
6698,"ly","篱"
6699,"tuệ","篲"
6700,"tất","篳"
6701,"địch","篴"
6702,"bồng","篷"
6703,"phùng","篷"
6704,"miệt","篾"
6705,"trách","簀"
6706,"điếu","簃"
6707,"di","簃"
6708,"thốc","簇"
6709,"sứu","簉"
6710,"quĩ","簋"
6711,"quỹ","簋"
6712,"sắc","簌"
6713,"tốc","簌"
6714,"lâu","簍"
6715,"lộc","簏"
6716,"đan","簞"
6717,"điệm","簟"
6718,"điếm","簟"
6719,"phủ","簠"
6720,"giản","簡"
6721,"quĩ","簣"
6722,"quý","簣"
6723,"quỹ","簣"
6724,"quí","簣"
6725,"đăng","簦"
6726,"hoàng","簧"
6727,"huỳnh","簧"
6728,"toản","簨"
6729,"tuẩn","簨"
6730,"trâm","簪"
6731,"tiêu","簫"
6732,"bài","簰"
6733,"diêm","簷"
6734,"thiềm","簷"
6735,"bá","簸"
6736,"phả","簸"
6737,"đang","簹"
6738,"đương","簹"
6739,"thiêm","簽"
6740,"liêm","簾"
6741,"bạc","簿"
6742,"bạ","簿"
6743,"bộ","簿"
6744,"trừu","籀"
6745,"trứu","籀"
6746,"lam","籃"
6747,"trù","籌"
6748,"tịch","籍"
6749,"đằng","籐"
6750,"lục","籙"
6751,"thác","籜"
6752,"lại","籟"
6753,"lung","籠"
6754,"lan","籣"
6755,"thiêm","籤"
6756,"tiêm","籤"
6757,"dược","籥"
6758,"thược","籥"
6759,"cừ","籧"
6760,"biên","籩"
6761,"đoán","籪"
6762,"li","籬"
6763,"ly","籬"
6764,"la","籮"
6765,"doanh","籯"
6766,"dụ","籲"
6767,"thược","籲"
6768,"mễ","米"
6769,"nữ","籹"
6770,"tử","籽"
6771,"phấn","粉"
6772,"ba","粑"
6773,"lạp","粒"
6774,"ve","粔"
6775,"bá","粕"
6776,"phách","粕"
6777,"thô","粗"
6778,"niêm","粘"
6779,"tây","粞"
6780,"tê","粞"
6781,"túc","粟"
6782,"tư","粢"
6783,"chúc","粥"
6784,"trang","粧"
6785,"lương","粱"
6786,"sán","粲"
6787,"xán","粲"
6788,"canh","粳"
6789,"cánh","粳"
6790,"việt","粵"
6791,"tuý","粹"
6792,"bại","粺"
6793,"lân","粼"
6794,"tông","粽"
6795,"tống","粽"
6796,"tốn","粽"
6797,"tinh","精"
6798,"nhu","糅"
6799,"nhữu","糅"
6800,"tư","糈"
6801,"hồ","糊"
6802,"hỗ","糊"
6803,"tảm","糌"
6804,"đoàn","糐"
6805,"bị","糒"
6806,"bí","糒"
6807,"cao","糕"
6808,"đường","糖"
6809,"khứu","糗"
6810,"tháo","糙"
6811,"mi","糜"
6812,"tẩm","糝"
6813,"tảm","糝"
6814,"phẩn","糞"
6815,"phấn","糞"
6816,"tao","糟"
6817,"khang","糠"
6818,"mô","糢"
6819,"lương","糧"
6820,"cưỡng","糨"
6821,"nhu","糯"
6822,"noạ","糯"
6823,"đoàn","糰"
6824,"nghiệt","糱"
6825,"lệ","糲"
6826,"địch","糴"
6827,"thiếu","糶"
6828,"mịch","糸"
6829,"hệ","系"
6830,"củ","糾"
6831,"kỉ","紀"
6832,"kỷ","紀"
6833,"trụ","紂"
6834,"tuần","紃"
6835,"xuyên","紃"
6836,"ước","約"
6837,"hồng","紅"
6838,"hu","紆"
6839,"vu","紆"
6840,"hột","紇"
6841,"hoàn","紈"
